# %ECSV 1.0
# ---
# datatype:
# - {name: e_ref, unit: TeV, datatype: float64, format: .3f}
# - {name: e_min, unit: TeV, datatype: float64, format: .3f}
# - {name: e_max, unit: TeV, datatype: float64, format: .3f}
# - {name: dnde, unit: 1 / (cm2 s TeV), datatype: float64, format: .3e}
# - {name: dnde_errp, unit: 1 / (cm2 s TeV), datatype: float64, format: .3e}
# - {name: dnde_errn, unit: 1 / (cm2 s TeV), datatype: float64, format: .3e}
# - {name: dnde_ul, unit: 1 / (cm2 s TeV), datatype: float64, format: .3e}
# - {name: is_ul, datatype: bool}
# meta: !!omap
# - {SED_TYPE: dnde}
# schema: astropy-2.0
e_ref e_min e_max dnde dnde_errp dnde_errn dnde_ul is_ul
0.510911578410321 0.46417000889778137 0.5623599886894226 3.999999984016789e-12 1.0839999687803359e-12 1.0370000214435238e-12 nan False
0.618993332163626 0.5623599886894226 0.6813300251960754 1.950999908503781e-12 6.411999837335758e-13 6.169999949325045e-13 nan False
0.749931362785554 0.6813300251960754 0.825439989566803 1.9560000320828497e-12 4.004000093722065e-13 3.861999966787294e-13 nan False
0.9085372802294923 0.825439989566803 1.0 1.0359999533596231e-12 2.394999888515048e-13 2.305999900580058e-13 nan False
1.1006816290996184 1.0 1.2115000486373901 6.629999826056332e-13 1.5610000000509244e-13 1.5009999807750335e-13 nan False
1.3332794496726135 1.2115000486373901 1.4673000574111938 5.882000073641203e-13 1.0770000207415906e-13 1.0340000204797292e-13 nan False
1.615514346405338 1.4673000574111938 1.7786999940872192 1.923000062138691e-13 6.563000333080146e-14 6.259999707188338e-14 nan False
1.957512031074456 1.7786999940872192 2.1542999744415283 2.88799989782082e-13 5.1669999116994714e-14 4.9369999733338277e-14 nan False
2.3711827214207144 2.1542999744415283 2.6098999977111816 1.68500006699282e-13 3.396000047470836e-14 3.2189999770544306e-14 nan False
2.872989703826791 2.6098999977111816 3.1626000404357915 1.5929999561212912e-13 2.6060000308408306e-14 2.4660000536263875e-14 nan False
3.480974796567117 3.1626000404357915 3.831399917602539 1.3760000083795632e-13 2.0469999596739973e-14 1.9390000401738744e-14 nan False
4.217132698481178 3.831399917602539 4.64169979095459 5.298999832133687e-14 1.2550000135522297e-14 1.1700000031853765e-14 nan False
5.109115674237853 4.64169979095459 5.623600006103515 4.275999855845452e-14 9.041999631941456e-15 8.346000282479123e-15 nan False
6.189933333092225 5.623600006103515 6.813300132751465 2.4979999419341183e-14 6.19999995896299e-15 5.641000141906041e-15 nan False
7.499313724706061 6.813300132751465 8.254400253295898 1.6820000795815526e-14 4.5760002063347915e-15 4.1340002032491316e-15 nan False
9.085372999110108 8.254400253295898 10.000000000000002 1.798000055861903e-14 3.752000202498704e-15 3.397000012216717e-15 nan False
11.006815966081273 10.000000000000002 12.114999771118164 9.47799967714524e-15 2.4690000325673254e-15 2.1930000641769056e-15 nan False
13.332793994828759 12.114999771118164 14.673000335693361 5.741999927020171e-15 1.7340000039607335e-15 1.5189999602997792e-15 nan False
16.155143657620105 14.673000335693361 17.787000656127926 3.9089998768546564e-15 1.2400000129684217e-15 1.0709999993322437e-15 nan False
19.574666405265006 17.787000656127926 21.54199981689453 1.3750000182226937e-15 6.929000029687706e-16 5.605000182856549e-16 nan False
26.09900481414896 21.54199981689453 31.620000839233402 9.28100035416286e-16 3.112999870579039e-16 2.6500000149068143e-16 nan False
38.311883026800764 31.620000839233402 46.41999816894531 2.544999957880599e-16 1.4610000145112516e-16 1.1689999643241125e-16 nan False
56.23694824360504 46.41999816894531 68.12999725341798 nan nan nan 1.379999974300997e-16 True
